難度,掉落池ID,群組ID,掉落池備註,抽取次數,先抽稀有度,忽略難度,普通物品BP,遺物BP,None有效權重,None比例,Normal有效權重,Normal比例,Rare有效權重,Rare比例,Elite有效權重,Elite比例,Epic有效權重,Epic比例,Legend有效權重,Legend比例,Unique有效權重,Unique比例
Easy,111001,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111001,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111001,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111001,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111002,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111002,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111002,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111002,111000,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111100,111100,챕1 - 의료 상자,3,TRUE,FALSE,9000,0,0,0.00%,3000,33.90%,5000,56.50%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111100,111100,챕1 - 의료 상자,3,TRUE,FALSE,9000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111100,111100,챕1 - 의료 상자,3,TRUE,FALSE,9000,0,0,0.00%,3000,31.25%,5000,52.08%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111100,111100,챕1 - 의료 상자,3,TRUE,FALSE,9000,0,0,0.00%,3000,26.91%,5000,44.84%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111101,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111101,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111101,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111101,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111102,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111102,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111102,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111102,111100,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111200,111200,챕1 - 서류 가방,4,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,4000,70.18%,1700,29.82%,0,0.00%,0,0.00%,0,0.00%
Normal,111200,111200,챕1 - 서류 가방,4,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,4000,66.67%,2000,33.33%,0,0.00%,0,0.00%,0,0.00%
Hard,111200,111200,챕1 - 서류 가방,4,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,4000,55.56%,3200,44.44%,0,0.00%,0,0.00%,0,0.00%
Insane,111200,111200,챕1 - 서류 가방,4,TRUE,FALSE,6000,0,0,0.00%,0,0.00%,4000,38.83%,6300,61.17%,0,0.00%,0,0.00%,0,0.00%
Easy,111201,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111201,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111201,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111201,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111202,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111202,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111202,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111202,111200,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111300,111300,챕1 - 금고,3,TRUE,FALSE,9000,750,0,0.00%,3000,33.90%,5000,56.50%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111300,111300,챕1 - 금고,3,TRUE,FALSE,9000,750,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111300,111300,챕1 - 금고,3,TRUE,FALSE,9000,750,0,0.00%,3000,31.25%,5000,52.08%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111300,111300,챕1 - 금고,3,TRUE,FALSE,9000,750,0,0.00%,3000,26.91%,5000,44.84%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111301,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111301,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111301,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111301,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111302,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111302,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111302,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111302,111300,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111400,111400,챕1 - 봉인된 무기함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,90.40%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111400,111400,챕1 - 봉인된 무기함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,88.89%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111400,111400,챕1 - 봉인된 무기함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,83.33%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111400,111400,챕1 - 봉인된 무기함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,71.75%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111401,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111401,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111401,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111401,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111402,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111402,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111402,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111402,111400,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111500,111500,챕1 - 봉인된 장신구함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,90.40%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111500,111500,챕1 - 봉인된 장신구함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,88.89%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111500,111500,챕1 - 봉인된 장신구함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,83.33%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111500,111500,챕1 - 봉인된 장신구함,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,71.75%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111501,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111501,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111501,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111501,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111502,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111502,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111502,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111502,111500,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111600,111600,챕1 - 의식용 상자,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,90.40%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111600,111600,챕1 - 의식용 상자,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,88.89%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111600,111600,챕1 - 의식용 상자,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,83.33%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111600,111600,챕1 - 의식용 상자,3,TRUE,FALSE,9000,750,0,0.00%,0,0.00%,8000,71.75%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111601,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111601,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111601,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111601,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111602,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111602,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111602,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111602,111600,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,3000,33.33%,5000,55.56%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111700,111700,챕1 - 캐비닛,3,TRUE,FALSE,9000,350,0,0.00%,4000,45.20%,4000,45.20%,850,9.60%,0,0.00%,0,0.00%,0,0.00%
Normal,111700,111700,챕1 - 캐비닛,3,TRUE,FALSE,9000,350,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111700,111700,챕1 - 캐비닛,3,TRUE,FALSE,9000,350,0,0.00%,4000,41.67%,4000,41.67%,1600,16.67%,0,0.00%,0,0.00%,0,0.00%
Insane,111700,111700,챕1 - 캐비닛,3,TRUE,FALSE,9000,350,0,0.00%,4000,35.87%,4000,35.87%,3150,28.25%,0,0.00%,0,0.00%,0,0.00%
Easy,111701,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111701,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111701,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111701,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111702,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Normal,111702,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Hard,111702,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Insane,111702,111700,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,4000,44.44%,4000,44.44%,1000,11.11%,0,0.00%,0,0.00%,0,0.00%
Easy,111800,111800,챕1 - 전기 장비함,3,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111800,111800,챕1 - 전기 장비함,3,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111800,111800,챕1 - 전기 장비함,3,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111800,111800,챕1 - 전기 장비함,3,TRUE,FALSE,8000,250,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111801,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111801,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111801,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111801,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111802,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111802,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111802,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111802,111800,챕1 - 박스 퀘스트 보상,1,FALSE,TRUE,10000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Easy,111900,111900,챕1 - 자판기,3,TRUE,FALSE,8000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111900,111900,챕1 - 자판기,3,TRUE,FALSE,8000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111900,111900,챕1 - 자판기,3,TRUE,FALSE,8000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111900,111900,챕1 - 자판기,3,TRUE,FALSE,8000,0,0,0.00%,5000,62.50%,3000,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
