難度,怪物ID,怪物名稱,怪物原名,怪物類型,怪物類型原值,怪物分類,怪物分類原值,HP,攻擊,防禦,難度HP倍率%,難度攻擊倍率%,難度防禦倍率%,基礎HP,基礎攻擊,基礎防禦,火抗性%,水抗性%,風抗性%,建議屬性,弱點說明,抗性說明,掉落池ID,掉落池名稱,掉落ID來源,出現設定ID,出現機率,移動速度,攻擊速度,視野距離,背後視野距離,主動技能ID,被動技能ID
Insane,210018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,1872,240.5,81.9,240,130,105,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Insane,240018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,936,180.7,81.9,240,130,105,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Normal,200017,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,663,157.25,66.3,85,85,85,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010501,4500,1.4,1,3,1.3,20001020|20001021|20001023,
Normal,210018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,663,157.25,66.3,85,85,85,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Normal,240018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,331.5,118.15,66.3,85,85,85,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Easy,200018,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,546,101.75,50.7,70,55,65,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010502,4500,1.4,1,3,1.3,20001022|20001021|20001023,
Easy,210019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,546,101.75,50.7,70,55,65,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Easy,240019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,273,76.45,50.7,70,55,65,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Hard,200018,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,1170,212.75,74.1,150,115,95,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010502,4500,1.4,1,3,1.3,20001022|20001021|20001023,
Hard,210019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,1170,212.75,74.1,150,115,95,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Hard,240019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,585,159.85,74.1,150,115,95,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Insane,200018,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,1872,240.5,81.9,240,130,105,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010502,4500,1.4,1,3,1.3,20001022|20001021|20001023,
Insane,210019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,1872,240.5,81.9,240,130,105,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Insane,240019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,936,180.7,81.9,240,130,105,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Normal,200018,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,663,157.25,66.3,85,85,85,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010502,4500,1.4,1,3,1.3,20001022|20001021|20001023,
Normal,210019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,663,157.25,66.3,85,85,85,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Normal,240019,人體模特（男）,마네킹(남성),普通,Normal,幻象(Phantasm),Phantasm,331.5,118.15,66.3,85,85,85,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001022|20001021|20001023,
Easy,200013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,546,106.7,50.7,70,55,65,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010203,1000,1.05,1,3,1.3,20000402|20000405,
Easy,210013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,546,106.7,50.7,70,55,65,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Easy,240013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,273,80.3,50.7,70,55,65,390,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Hard,200013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1170,223.1,74.1,150,115,95,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010203,1000,1.05,1,3,1.3,20000402|20000405,
Hard,210013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1170,223.1,74.1,150,115,95,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Hard,240013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,585,167.9,74.1,150,115,95,390,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Insane,200013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1872,252.2,81.9,240,130,105,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010203,1000,1.05,1,3,1.3,20000402|20000405,
Insane,210013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1872,252.2,81.9,240,130,105,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Insane,240013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,936,189.8,81.9,240,130,105,390,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Normal,200013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,663,164.9,66.3,85,85,85,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010203,1000,1.05,1,3,1.3,20000402|20000405,
Normal,210013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,663,164.9,66.3,85,85,85,780,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Normal,240013,上班族殭屍,좀비(대머리남성),普通,Normal,褻瀆(Blasphemy),Blasphemy,331.5,124.1,66.3,85,85,85,390,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,0.55,1,3,2.5,20000402|20000405,
Easy,300010,千子黑山羊之子，暗黑幼獸,다크영 (스토리),首領,Boss,異界(Eldritch),Eldritch,30100,165,87.75,70,55,65,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.5,1,3.6,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Easy,301010,千子黑山羊之子，暗黑幼獸,다크영 (1챕터 범용),首領,Boss,異界(Eldritch),Eldritch,30100,165,87.75,70,55,65,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,121900,챕1 보스 - 다크영,121900:Monster + MonsterSpawn,30101001,100,1.5,1,3.4,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Easy,810001,千子黑山羊之子，暗黑幼獸,다크영(퀘스트용),普通,Normal,異界(Eldritch),Eldritch,69999.3,0.55,6499.35,70,55,65,99999,1,9999,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,6.5,6.5,,
Hard,300010,千子黑山羊之子，暗黑幼獸,다크영 (스토리),首領,Boss,異界(Eldritch),Eldritch,64500,345,128.25,150,115,95,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.5,1,3.6,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Hard,301010,千子黑山羊之子，暗黑幼獸,다크영 (1챕터 범용),首領,Boss,異界(Eldritch),Eldritch,64500,345,128.25,150,115,95,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,121900,챕1 보스 - 다크영,121900:Monster + MonsterSpawn,30101001,100,1.5,1,3.4,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Hard,810001,千子黑山羊之子，暗黑幼獸,다크영(퀘스트용),普通,Normal,異界(Eldritch),Eldritch,149998.5,1.15,9499.05,150,115,95,99999,1,9999,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,6.5,6.5,,
Insane,300010,千子黑山羊之子，暗黑幼獸,다크영 (스토리),首領,Boss,異界(Eldritch),Eldritch,103200,390,141.75,240,130,105,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.5,1,3.6,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Insane,301010,千子黑山羊之子，暗黑幼獸,다크영 (1챕터 범용),首領,Boss,異界(Eldritch),Eldritch,103200,390,141.75,240,130,105,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,121900,챕1 보스 - 다크영,121900:Monster + MonsterSpawn,30101001,100,1.5,1,3.4,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Insane,810001,千子黑山羊之子，暗黑幼獸,다크영(퀘스트용),普通,Normal,異界(Eldritch),Eldritch,239997.6,1.3,10498.95,240,130,105,99999,1,9999,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,6.5,6.5,,
Normal,300010,千子黑山羊之子，暗黑幼獸,다크영 (스토리),首領,Boss,異界(Eldritch),Eldritch,36550,255,114.75,85,85,85,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.5,1,3.6,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Normal,301010,千子黑山羊之子，暗黑幼獸,다크영 (1챕터 범용),首領,Boss,異界(Eldritch),Eldritch,36550,255,114.75,85,85,85,43000,300,135,0,0,-25,風,風 -25%,無明顯抗性,121900,챕1 보스 - 다크영,121900:Monster + MonsterSpawn,30101001,100,1.5,1,3.4,2.75,22000001|22000002|22000003|22000004|22000005|22000006|22000007|22000008|22000009|22000010|22000011|22000012|22000013,
Normal,810001,千子黑山羊之子，暗黑幼獸,다크영(퀘스트용),普通,Normal,異界(Eldritch),Eldritch,84999.15,0.85,8499.15,85,85,85,99999,1,9999,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,6.5,6.5,,
Easy,200004,大眼怪,큰눈(마을),普通,Normal,異界(Eldritch),Eldritch,455,143.55,50.7,70,55,65,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,121600,챕1 엘리트 몬스터 (야생),121600:MonsterSpawn,20020101 / 20000401,500 / 1000,2,1,4,2,20060000|20060001|20060002,40010003
Easy,200027,大眼怪,큰눈(도시),普通,Normal,異界(Eldritch),Eldritch,455,143.55,50.7,70,55,65,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,222000,챕2 순찰 유령 (엘리트),222000:MonsterSpawn,20020701 / 20000802,500 / 1000,2,1,4,2,20060003|20060001|20060002,40010003
Easy,210004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,455,143.55,50.7,70,55,65,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Easy,240004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,227.5,107.8,50.7,70,55,65,325,196,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Hard,200004,大眼怪,큰눈(마을),普通,Normal,異界(Eldritch),Eldritch,975,300.15,74.1,150,115,95,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,121600,챕1 엘리트 몬스터 (야생),121600:MonsterSpawn,20020101 / 20000401,500 / 1000,2,1,4,2,20060000|20060001|20060002,40010003
Hard,200027,大眼怪,큰눈(도시),普通,Normal,異界(Eldritch),Eldritch,975,300.15,74.1,150,115,95,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,222000,챕2 순찰 유령 (엘리트),222000:MonsterSpawn,20020701 / 20000802,500 / 1000,2,1,4,2,20060003|20060001|20060002,40010003
Hard,210004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,975,300.15,74.1,150,115,95,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Hard,240004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,487.5,225.4,74.1,150,115,95,325,196,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Insane,200004,大眼怪,큰눈(마을),普通,Normal,異界(Eldritch),Eldritch,1560,339.3,81.9,240,130,105,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,121600,챕1 엘리트 몬스터 (야생),121600:MonsterSpawn,20020101 / 20000401,500 / 1000,2,1,4,2,20060000|20060001|20060002,40010003
Insane,200027,大眼怪,큰눈(도시),普通,Normal,異界(Eldritch),Eldritch,1560,339.3,81.9,240,130,105,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,222000,챕2 순찰 유령 (엘리트),222000:MonsterSpawn,20020701 / 20000802,500 / 1000,2,1,4,2,20060003|20060001|20060002,40010003
Insane,210004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,1560,339.3,81.9,240,130,105,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Insane,240004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,780,254.8,81.9,240,130,105,325,196,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Normal,200004,大眼怪,큰눈(마을),普通,Normal,異界(Eldritch),Eldritch,552.5,221.85,66.3,85,85,85,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,121600,챕1 엘리트 몬스터 (야생),121600:MonsterSpawn,20020101 / 20000401,500 / 1000,2,1,4,2,20060000|20060001|20060002,40010003
Normal,200027,大眼怪,큰눈(도시),普通,Normal,異界(Eldritch),Eldritch,552.5,221.85,66.3,85,85,85,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,222000,챕2 순찰 유령 (엘리트),222000:MonsterSpawn,20020701 / 20000802,500 / 1000,2,1,4,2,20060003|20060001|20060002,40010003
Normal,210004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,552.5,221.85,66.3,85,85,85,650,261,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Normal,240004,大眼怪,큰눈,普通,Normal,異界(Eldritch),Eldritch,276.25,166.6,66.3,85,85,85,325,196,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.8,1,4,2.5,20060000|20060001|20060002,40010003
Easy,210011,女性殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,504,106.7,50.7,70,55,65,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Hard,210011,女性殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1080,223.1,74.1,150,115,95,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Insane,210011,女性殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1728,252.2,81.9,240,130,105,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Normal,210011,女性殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,612,164.9,66.3,85,85,85,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Easy,200011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,504,106.7,50.7,70,55,65,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010201,1000,1,1,3,1.3,20000401|20000407,
Easy,240011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,252,80.3,50.7,70,55,65,360,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Hard,200011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1080,223.1,74.1,150,115,95,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010201,1000,1,1,3,1.3,20000401|20000407,
Hard,240011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,540,167.9,74.1,150,115,95,360,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Insane,200011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,1728,252.2,81.9,240,130,105,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010201,1000,1,1,3,1.3,20000401|20000407,
Insane,240011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,864,189.8,81.9,240,130,105,360,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Normal,200011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,612,164.9,66.3,85,85,85,720,194,78,-25,0,0,火,火 -25%,無明顯抗性,121100,챕1 미니언 몬스터 (좀비),121100:MonsterSpawn,20010201,1000,1,1,3,1.3,20000401|20000407,
Normal,240011,女學生殭屍,좀비(단발여성),普通,Normal,褻瀆(Blasphemy),Blasphemy,306,124.1,66.3,85,85,85,360,146,78,-25,0,0,火,火 -25%,無明顯抗性,,,,,,1.2,1,3,2.5,20000401|20000407,
Easy,200030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,280,71.5,50.7,70,55,65,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.8,1,3.5,2.5,20001014|20001015,
Easy,210030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,280,71.5,50.7,70,55,65,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Easy,240030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,140,53.9,50.7,70,55,65,200,98,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Hard,200030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,600,149.5,74.1,150,115,95,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.8,1,3.5,2.5,20001014|20001015,
Hard,210030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,600,149.5,74.1,150,115,95,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Hard,240030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,300,112.7,74.1,150,115,95,200,98,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Insane,200030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,960,169,81.9,240,130,105,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.8,1,3.5,2.5,20001014|20001015,
Insane,210030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,960,169,81.9,240,130,105,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Insane,240030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,480,127.4,81.9,240,130,105,200,98,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Normal,200030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,340,110.5,66.3,85,85,85,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.8,1,3.5,2.5,20001014|20001015,
Normal,210030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,340,110.5,66.3,85,85,85,400,130,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Normal,240030,小型蜘蛛機器人,거미(small) 소환용,普通,Normal,機械(Machine),Machine,170,83.3,66.3,85,85,85,200,98,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,2.4,1,3.5,2.5,20001014|20001015,
Easy,200033,小型霸主,오버로드(small) 소환용,普通,Normal,機械(Machine),Machine,315,77,50.7,70,55,65,450,140,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.7,1,3.5,2.5,20001073,
Hard,200033,小型霸主,오버로드(small) 소환용,普通,Normal,機械(Machine),Machine,675,161,74.1,150,115,95,450,140,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.7,1,3.5,2.5,20001073,
Insane,200033,小型霸主,오버로드(small) 소환용,普通,Normal,機械(Machine),Machine,1080,182,81.9,240,130,105,450,140,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.7,1,3.5,2.5,20001073,
Normal,200033,小型霸主,오버로드(small) 소환용,普通,Normal,機械(Machine),Machine,382.5,119,66.3,85,85,85,450,140,78,0,-25,0,水,水 -25%,無明顯抗性,,,,,,1.7,1,3.5,2.5,20001073,
Easy,820007,幻影稻草人,허수아비(환상),普通,Normal,幻象(Phantasm),Phantasm,7000,119.35,40.3,70,55,65,10000,217,62,25,0,-25,風,風 -25%,火 +25%,,,,,,0,1,2,2,,40010007|40010008|40010009
Hard,820007,幻影稻草人,허수아비(환상),普通,Normal,幻象(Phantasm),Phantasm,15000,249.55,58.9,150,115,95,10000,217,62,25,0,-25,風,風 -25%,火 +25%,,,,,,0,1,2,2,,40010007|40010008|40010009
Insane,820007,幻影稻草人,허수아비(환상),普通,Normal,幻象(Phantasm),Phantasm,24000,282.1,65.1,240,130,105,10000,217,62,25,0,-25,風,風 -25%,火 +25%,,,,,,0,1,2,2,,40010007|40010008|40010009
Normal,820007,幻影稻草人,허수아비(환상),普通,Normal,幻象(Phantasm),Phantasm,8500,184.45,52.7,85,85,85,10000,217,62,25,0,-25,風,風 -25%,火 +25%,,,,,,0,1,2,2,,40010007|40010008|40010009
